Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,SMA 20,SMA 50,Signal at Close,Next-Day Position,Strategy Net Return,Strategy Equity,Buy & Hold Net Return,Buy & Hold Equity,Strategy Drawdown,Buy & Hold Drawdown,Entry,Exit
2025-07-15,171.19000244140625,172.39999389648438,169.1999969482422,170.6999969482422,170.4729461669922,230627400,0,,,0,0,0,1,-0.001,0.999,0,0,0,0
2025-07-16,171.05999755859375,171.75,168.89999389648438,171.3699951171875,171.14205932617188,158831500,0.003925040155780657,,,0,0,0,1,0.003925040155780657,1.002921115115625,0,0,0,0
2025-07-17,172.02000427246094,174.16000366210938,170.8300018310547,173,172.7698974609375,160841100,0.009511619418247186,,,0,0,0,1,0.009511619418247186,1.012460519069129,0,0,0,0
2025-07-18,173.63999938964844,174.25,171.25999450683594,172.41000366210938,172.18067932128906,146456400,-0.00341042130780711,,,0,0,0,1,-0.00341042130780711,1.0090076021415821,0,-0.00341042130780711,0,0
2025-07-21,172.75,173.3800048828125,171,171.3800048828125,171.1520538330078,123126100,-0.005974105180302058,,,0,0,0,1,-0.005974105180302058,1.002979684598664,0,-0.009364152272507087,0,0
2025-07-22,171.33999633789062,171.38999938964844,164.5800018310547,167.02999877929688,166.80784606933594,193114300,-0.025382153858991896,,,0,0,0,1,-0.025382153858991896,0.9775218999267375,0,-0.034508623777759206,0,0
2025-07-23,169.52999877929688,171.25999450683594,167.97000122070312,170.77999877929688,170.55284118652344,154082200,0.022450953030295873,,,0,0,0,1,0.022450953030295873,0.9994681981880783,0,-0.012832422239038022,0,0
2025-07-24,172.44000244140625,173.8300018310547,171.3000030517578,173.74000549316406,173.5089111328125,128984600,0.017332282040708913,,,0,0,0,1,0.017332282040708913,1.0167912628897933,0,0,0,0
2025-07-25,173.61000061035156,174.72000122070312,172.9600067138672,173.5,173.26922607421875,122316800,-0.0013813991283150306,,,0,0,0,1,-0.0013813991283150306,1.015386668325559,0,-0.0013813991283150306,0,0
2025-07-28,174.02000427246094,177,173.97000122070312,176.75,176.514892578125,140023500,0.018731927056198527,,,0,0,0,1,0.018731927056198527,1.03440681733047,0,0,0,0
2025-07-29,177.9600067138672,179.3800048828125,175.02000427246094,175.50999450683594,175.2765350341797,154077500,-0.0070155980940657114,,,0,0,0,1,-0.0070155980940657114,1.0271498348343178,0,-0.0070155980940656,0,0
2025-07-30,176.50999450683594,179.88999938964844,176.0399932861328,179.27000427246094,179.03155517578125,174312200,0.021423404683743374,,,0,0,0,1,0.021423404683743374,1.0491548814168135,0,0,0,0
2025-07-31,182.89999389648438,183.3000030517578,175.92999267578125,177.8699951171875,177.63340759277344,221685400,-0.0078095036466339085,,,0,0,0,1,-0.0078095036466339085,1.0409615025445051,0,-0.0078095036466337975,0,0
2025-08-01,174.08999633789062,176.5399932861328,170.88999938964844,173.72000122070312,173.4889373779297,204529000,-0.023331592131278556,,,0,0,0,1,-0.023331592131278556,1.016674213342774,0,-0.030958887624081277,0,0
2025-08-04,175.16000366210938,180.1999969482422,174.52000427246094,180,179.76058959960938,148174600,0.03615015641036212,,,0,0,0,1,0.03615015641036212,1.0534271451734971,0,0,0,0
2025-08-05,179.6199951171875,180.25999450683594,175.89999389648438,178.25999450683594,178.02288818359375,156407600,-0.009666754097136132,,,0,0,0,1,-0.009666754097136132,1.0432439240018567,0,-0.009666754097136243,0,0
2025-08-06,176.3300018310547,179.89999389648438,176.25,179.4199981689453,179.1813507080078,137192300,0.006507379675917635,,,0,0,0,1,0.006507379675917635,1.050032708309931,0,-0.0032222796603623705,0,0
2025-08-07,181.57000732421875,183.8800048828125,178.8000030517578,180.77000427246094,180.52957153320312,151878400,0.007524336767571027,,,0,0,0,1,0.007524336767571027,1.0579335080242196,0,0,0,0
